CustomerID,Age,Gender,City,Income,MaritalStatus,Dependents,Tenure,ContractType,SubscriptionPlan,MonthlyCharges,TotalCharges,PaymentMethod,AutoPay,MonthlyUsageHours,LoginFrequency,FeatureUsageScore,CustomerSupportCalls,ServiceComplaints,AppRating,DiscountReceived,LastInteractionDays,ContractRenewalReminder,UpgradeAttempts,Churn
C00058,53,Female,Leefurt,20205,Married,0,11,Yearly,Standard,52.53,635.87,Credit Card,Yes,30.6,26,61.9,1,0,1.8,Yes,52,Yes,0,0
C00059,58,Female,Robertmouth,72004,Divorced,0,4,Monthly,Basic,27.39,213.4,Credit Card,Yes,47.6,16,63.6,0,0,3.4,Yes,22,Yes,1,1
C00060,48,Female,Blaketon,53385,Married,1,1,Monthly,Basic,29.7,52.33,Bank Transfer,No,37.3,15,76.7,1,0,4.4,No,6,No,2,0
C00061,52,Female,West Joel,51720,Married,0,28,Two-year,Basic,28.85,907.97,Credit Card,No,59.3,16,61.2,3,1,2.9,No,32,No,1,0
C00062,52,Male,South Wendy,49952,Married,3,12,Monthly,Standard,64.95,718.02,Credit Card,No,51.9,19,69.0,1,0,2.5,No,35,No,0,0
C00063,32,Female,Markland,28538,Divorced,0,1,Two-year,Standard,67.21,117.7,PayPal,No,26.2,14,100.0,2,0,2.4,No,26,Yes,1,0
C00064,47,Female,Jacobborough,72068,Single,1,5,Monthly,Basic,27.74,158.3,Credit Card,Yes,36.2,9,66.1,1,0,3.6,No,11,No,1,1
C00065,28,Female,South Joshuaberg,50507,Single,0,27,Two-year,Standard,59.53,1540.61,PayPal,Yes,28.0,16,61.4,3,0,3.9,No,27,Yes,2,0
C00066,23,Female,Teresahaven,89991,Single,2,6,Monthly,Premium,95.41,617.21,Credit Card,Yes,34.1,17,80.0,2,0,4.0,Yes,7,No,0,1
C00067,54,Male,Mcdonaldstad,87467,Single,1,11,Monthly,Basic,28.56,443.15,PayPal,Yes,23.9,14,87.8,2,0,4.0,Yes,9,Yes,0,0
C00068,26,Male,New Roberttown,40774,Married,1,17,Monthly,Basic,30.17,435.1,Bank Transfer,No,46.6,15,71.7,1,2,3.3,No,1,No,2,0
C00069,42,Female,Simonfurt,26725,Married,0,14,Yearly,Basic,25.32,416.28,Bank Transfer,No,61.8,22,67.2,1,2,3.6,Yes,29,No,0,0
C00070,41,Male,West Joshua,51950,Married,2,8,Yearly,Basic,25.07,134.0,Bank Transfer,No,3.3,14,65.2,3,2,3.1,Yes,63,No,3,1
C00071,25,Male,Port Phillip,47939,Married,1,72,Two-year,Basic,34.43,2502.69,PayPal,No,39.5,16,71.4,0,0,2.6,No,13,No,0,1
C00072,46,Female,Torresville,56079,Single,1,16,Yearly,Standard,54.3,861.6,Bank Transfer,No,15.8,16,67.0,0,0,3.3,No,1,Yes,1,0
C00073,32,Female,Poncetown,48950,Single,1,17,Monthly,Premium,91.33,1598.23,Credit Card,Yes,50.0,14,100.0,2,0,4.5,No,39,No,1,0
C00074,35,Female,West Scottberg,54696,Single,0,34,Monthly,Basic,29.54,948.43,Bank Transfer,Yes,20.1,15,54.4,1,0,3.1,Yes,40,Yes,1,0
C00075,57,Female,Jenniferburgh,50813,Married,3,27,Yearly,Basic,21.0,546.66,Credit Card,Yes,38.2,17,73.4,3,0,3.9,No,21,Yes,1,0
C00076,35,Female,West Marthaville,58693,Married,0,1,Monthly,Premium,92.26,43.68,Credit Card,Yes,64.0,17,41.9,0,0,4.4,No,9,Yes,0,1
C00077,47,Female,Port Tammy,81223,Married,1,3,Yearly,Standard,65.64,224.73,Bank Transfer,Yes,49.1,19,98.3,4,1,3.9,No,7,Yes,0,0
C00078,64,Female,North Donnaberg,32935,Single,1,3,Yearly,Basic,30.05,81.92,Bank Transfer,No,13.2,12,73.3,3,1,3.8,No,83,Yes,0,1
C00079,44,Female,Albertbury,41972,Single,1,16,Yearly,Premium,101.47,1659.7,Bank Transfer,No,86.0,15,76.5,3,1,3.3,No,8,Yes,2,0
C00080,33,Female,South Kristopher,66771,Single,2,4,Monthly,Standard,64.98,229.43,Credit Card,No,37.3,18,55.3,1,1,2.8,No,10,No,2,0
C00081,47,Male,Lake Lisaview,61774,Married,1,12,Yearly,Basic,21.37,319.57,Credit Card,Yes,29.0,17,100.0,2,0,4.3,No,9,Yes,1,0
C00082,37,Male,Port Joseph,45935,Single,3,13,Two-year,Basic,26.84,304.62,Credit Card,Yes,23.1,11,52.3,4,1,3.3,No,54,No,0,0
C00083,24,Male,South Barbara,61972,Single,1,1,Yearly,Basic,29.7,0.0,PayPal,Yes,46.5,12,52.0,2,1,2.6,No,2,No,1,0
C00084,50,Male,Wadehaven,70562,Married,0,22,Monthly,Premium,100.98,2192.89,Credit Card,No,47.1,8,57.4,1,0,3.3,No,9,No,1,0
C00085,39,Male,Stanleymouth,40055,Married,0,1,Yearly,Premium,86.88,131.08,Credit Card,Yes,54.7,25,49.4,1,0,4.2,No,119,Yes,0,0
C00086,43,Male,Port Mercedesland,27868,Married,2,10,Monthly,Standard,55.33,512.79,Bank Transfer,Yes,44.0,15,78.0,2,1,3.4,Yes,19,Yes,0,0
C00087,45,Female,New Richardland,73078,Married,1,25,Monthly,Standard,55.45,1389.94,PayPal,No,67.9,14,56.1,1,0,3.1,No,42,No,1,0
C00088,36,Male,Lake Karen,23736,Married,2,1,Yearly,Standard,63.42,59.53,PayPal,No,36.4,9,100.0,4,0,4.2,Yes,25,Yes,2,0
C00089,25,Female,Harrisview,57354,Married,2,46,Two-year,Premium,97.67,4516.99,Bank Transfer,Yes,29.1,21,44.7,0,0,2.9,No,64,Yes,1,0
C00090,43,Female,Williamton,54099,Married,2,51,Monthly,Basic,23.05,1162.79,Credit Card,Yes,40.7,15,49.7,1,1,3.7,No,23,Yes,1,0
C00091,38,Male,Hendersonshire,81119,Single,1,42,Yearly,Premium,94.0,3922.76,Bank Transfer,Yes,56.8,9,65.9,0,0,4.8,No,31,No,1,0
C00092,44,Male,West Heatherfort,54516,Married,1,27,Monthly,Standard,64.97,1698.12,Bank Transfer,Yes,32.0,19,65.5,3,0,3.9,No,61,Yes,2,1
C00093,43,Female,Santiagoshire,68007,Divorced,1,14,Monthly,Standard,64.54,897.54,Credit Card,Yes,0.0,29,71.9,1,2,3.2,Yes,72,Yes,2,0
C00094,28,Female,Evansburgh,76719,Single,1,49,Two-year,Premium,100.7,4902.01,Bank Transfer,Yes,21.8,12,56.8,1,0,2.7,No,40,Yes,0,0
C00095,45,Female,North Adam,72982,Divorced,2,1,Two-year,Basic,32.67,0.2,PayPal,Yes,41.7,15,45.7,2,0,3.7,Yes,53,No,2,0
C00096,32,Female,Greenbury,18387,Married,3,22,Yearly,Basic,35.11,859.9,Bank Transfer,No,19.7,15,70.7,1,2,3.5,No,30,No,0,0
C00097,34,Male,Ernestside,15000,Single,0,3,Yearly,Premium,97.9,190.31,Bank Transfer,Yes,49.0,12,30.2,1,0,3.3,Yes,48,Yes,1,0
C00098,38,Male,Baxterburgh,68426,Divorced,0,23,Two-year,Standard,57.4,1280.4,Credit Card,No,61.5,15,55.4,1,0,2.4,No,15,No,2,0
C00099,34,Female,East Sarah,57935,Married,0,1,Monthly,Standard,67.06,111.9,Bank Transfer,Yes,34.6,14,37.2,0,0,3.4,Yes,2,No,0,0
C00100,54,Male,Port Coreybury,78141,Divorced,1,1,Monthly,Premium,102.54,114.2,Bank Transfer,No,59.1,18,60.7,1,0,2.1,No,19,No,1,1
C00101,18,Female,Christinabury,69652,Married,3,13,Two-year,Standard,53.03,735.35,Bank Transfer,No,60.0,14,41.6,4,0,4.5,No,36,Yes,1,0
C00102,26,Female,New Michaelfort,50701,Married,2,1,Yearly,Standard,65.55,135.33,Credit Card,Yes,28.8,14,50.8,2,0,3.5,No,34,No,0,0
C00103,40,Male,East Joshuaview,45485,Divorced,2,1,Monthly,Basic,23.51,5.42,Bank Transfer,No,3.9,21,47.9,3,2,3.4,No,14,No,0,1
C00104,42,Male,Torresfort,31394,Married,3,8,Monthly,Standard,55.06,409.44,Bank Transfer,No,36.6,16,45.6,1,0,3.3,No,15,Yes,3,0
C00105,34,Female,Port Alexandramouth,29483,Single,0,15,Monthly,Premium,91.38,1382.75,PayPal,Yes,45.3,20,90.4,1,1,3.4,No,118,Yes,1,0
C00106,22,Female,West Susantown,38145,Married,0,34,Two-year,Premium,100.2,3285.81,PayPal,Yes,94.3,14,49.6,3,0,3.3,No,56,No,1,0
C00107,47,Female,North Reneemouth,15000,Divorced,2,15,Monthly,Basic,34.62,566.68,Bank Transfer,No,24.5,12,63.1,2,1,3.1,No,1,No,3,0
C00108,48,Female,West Sandraview,78649,Divorced,3,16,Yearly,Standard,58.18,893.63,Credit Card,Yes,26.5,13,52.1,2,1,3.1,Yes,20,Yes,2,0
C00109,20,Female,Heatherville,39745,Married,0,7,Monthly,Basic,33.15,222.36,Credit Card,Yes,34.7,11,14.9,2,1,3.5,No,17,No,1,1
C00110,26,Male,Rayhaven,70643,Single,3,17,Yearly,Basic,30.96,500.87,Bank Transfer,Yes,39.5,12,19.6,1,1,3.5,No,1,Yes,0,0
C00111,29,Female,Lake Charles,77511,Married,0,10,Yearly,Premium,102.64,1001.99,Bank Transfer,Yes,60.5,21,41.7,3,1,4.8,No,36,Yes,0,0
C00112,51,Female,Annhaven,79722,Divorced,4,2,Monthly,Premium,102.08,264.35,Bank Transfer,Yes,37.2,24,46.0,1,0,2.4,No,1,No,1,0
C00113,35,Female,Craigville,64650,Single,2,5,Monthly,Basic,33.85,249.36,Credit Card,No,25.2,17,46.6,1,0,2.8,Yes,66,No,0,1
C00114,19,Female,Schwartzport,57380,Single,1,11,Yearly,Standard,57.86,586.74,Bank Transfer,Yes,0.0,15,51.2,0,0,3.5,No,33,Yes,0,0
C00115,41,Female,South Vanessa,85951,Married,1,1,Monthly,Premium,102.36,131.95,Credit Card,Yes,32.9,18,43.5,1,0,4.3,Yes,109,No,1,0
C00116,48,Male,East Christopherhaven,68539,Married,1,8,Two-year,Standard,58.48,385.68,Credit Card,Yes,36.5,25,88.2,1,0,3.8,No,45,No,1,0
C00117,24,Male,Colemanfort,86562,Divorced,1,10,Monthly,Standard,57.83,601.62,Credit Card,No,59.7,17,53.5,0,0,2.8,No,4,Yes,2,0
C00118,33,Female,Deborahmouth,59492,Married,0,39,Monthly,Premium,109.94,4192.94,Bank Transfer,No,28.7,11,53.3,0,0,3.9,No,8,Yes,1,0
C00119,40,Male,North Mark,61636,Married,0,13,Monthly,Premium,95.42,1248.31,Credit Card,No,43.3,11,55.8,6,0,2.7,No,30,Yes,1,0
C00120,39,Female,West Julia,86245,Single,0,1,Monthly,Basic,32.09,21.72,Credit Card,Yes,52.6,11,29.6,2,0,3.5,No,32,Yes,0,1
C00121,48,Female,East Angela,51375,Married,1,34,Two-year,Basic,22.28,677.36,Credit Card,Yes,45.0,24,58.0,2,0,4.6,No,8,No,0,0
C00122,40,Male,East Raymondberg,35921,Married,0,1,Yearly,Standard,56.96,91.28,Bank Transfer,No,42.1,14,66.7,2,0,3.3,Yes,45,Yes,1,0
C00123,24,Male,New Patrickberg,62272,Single,1,5,Monthly,Basic,29.06,180.78,PayPal,Yes,65.3,19,47.6,3,1,3.0,No,1,No,0,0
C00124,31,Female,New Amyview,55683,Married,1,8,Yearly,Premium,93.85,713.35,Bank Transfer,No,64.3,20,71.4,1,1,3.1,No,69,No,3,0
C00125,32,Female,Johnstontown,59571,Single,2,36,Monthly,Standard,61.84,2231.51,PayPal,No,8.2,9,70.9,1,2,3.2,Yes,76,No,2,1
C00126,33,Female,Millerfort,65800,Single,1,72,Monthly,Premium,101.2,7325.35,PayPal,No,49.2,23,88.5,1,1,3.3,Yes,54,Yes,0,0
C00127,39,Male,Sherylshire,64095,Single,0,29,Monthly,Premium,99.97,2965.11,PayPal,Yes,76.4,20,55.8,2,0,2.6,No,61,No,2,0
C00128,54,Male,North Katie,60225,Married,1,26,Monthly,Premium,99.35,2551.11,PayPal,No,20.0,13,33.0,2,0,2.9,Yes,17,No,1,1
C00129,46,Male,Brendantown,51930,Married,2,5,Yearly,Basic,36.6,158.26,PayPal,Yes,34.1,12,44.4,1,0,3.3,No,40,No,1,0
C00130,22,Female,Wheelerville,41999,Single,0,15,Monthly,Basic,24.39,315.65,Bank Transfer,Yes,44.1,16,56.4,0,1,3.7,Yes,29,Yes,1,1
C00131,54,Female,Anthonyland,75273,Married,1,7,Monthly,Standard,64.09,462.2,PayPal,Yes,51.0,11,61.8,2,0,2.3,No,17,No,1,0
C00132,46,Female,Carpenterland,34606,Married,1,1,Two-year,Basic,24.68,17.63,Bank Transfer,Yes,46.3,14,58.8,2,0,4.8,No,8,Yes,1,0
C00133,44,Female,East Alejandro,66358,Single,0,6,Monthly,Standard,55.51,289.53,Credit Card,Yes,74.1,16,49.0,0,3,3.6,No,6,No,2,0
C00134,37,Female,Jameshaven,42608,Married,2,7,Yearly,Basic,33.05,217.87,Bank Transfer,Yes,62.1,14,67.8,1,0,5.0,No,82,Yes,0,0
C00135,34,Male,West Thomas,19529,Married,0,8,Two-year,Standard,55.55,444.6,PayPal,Yes,55.9,14,54.7,1,0,4.1,No,50,Yes,1,0
C00136,26,Female,Patrickland,38491,Married,1,10,Monthly,Basic,34.24,319.06,PayPal,Yes,26.6,13,75.1,3,0,3.6,No,6,Yes,3,0
C00137,64,Male,Brownberg,32382,Married,0,26,Monthly,Basic,31.78,780.35,Credit Card,No,31.7,10,49.1,3,0,3.3,No,13,No,0,1
C00138,69,Female,Jennifermouth,63659,Married,0,1,Yearly,Premium,92.11,63.87,PayPal,No,60.4,14,96.8,3,0,4.3,No,29,No,1,0
C00139,35,Female,Port Richardhaven,39211,Single,0,28,Yearly,Basic,26.64,681.7,Bank Transfer,No,37.4,15,58.5,0,1,5.0,No,29,No,1,1
C00140,43,Male,Cruzmouth,90172,Married,3,9,Yearly,Premium,97.81,951.8,PayPal,No,46.7,20,49.0,0,0,3.3,No,23,No,1,0
C00141,37,Male,Parsonsburgh,41733,Married,3,9,Yearly,Standard,55.82,442.9,Credit Card,Yes,27.5,13,51.3,3,0,3.3,No,1,No,2,1
C00142,45,Female,Joshuaport,84116,Single,3,3,Two-year,Standard,64.37,269.42,Bank Transfer,Yes,25.6,18,65.6,3,0,4.9,No,9,Yes,0,0
C00143,30,Male,East Jeffreyshire,41252,Married,2,4,Monthly,Basic,30.11,96.47,Credit Card,Yes,63.1,17,46.6,1,0,3.6,No,11,No,0,1
C00144,27,Male,Lake Mark,69023,Single,1,26,Yearly,Basic,31.76,857.04,Credit Card,Yes,26.1,9,66.6,1,0,3.2,No,24,No,0,0
C00145,48,Female,Lake Carrie,48959,Single,1,55,Yearly,Basic,26.65,1497.98,Bank Transfer,Yes,25.9,13,57.5,3,0,2.7,No,1,Yes,0,0
C00146,18,Female,East Amanda,67810,Single,1,1,Monthly,Standard,62.11,128.56,Credit Card,Yes,47.7,16,76.8,4,0,2.8,Yes,7,Yes,3,0
C00147,47,Female,New Chelsea,72704,Single,1,14,Monthly,Standard,64.95,967.86,Bank Transfer,Yes,51.2,11,51.8,3,0,4.5,No,5,Yes,1,0
C00148,35,Female,North Amanda,61846,Single,0,36,Two-year,Basic,36.77,1366.42,Credit Card,No,48.3,25,64.3,1,0,2.2,No,76,No,1,0
C00149,30,Female,East Chad,52019,Married,4,47,Monthly,Basic,28.17,1334.58,Credit Card,Yes,22.1,15,74.9,0,0,3.8,No,83,No,0,0
C00150,37,Female,Lynnberg,24027,Single,0,2,Two-year,Basic,27.72,43.37,Bank Transfer,Yes,38.8,12,64.6,1,0,3.2,No,13,Yes,1,0
C00151,35,Female,Port Austinstad,61641,Single,1,4,Yearly,Basic,28.84,72.94,Bank Transfer,Yes,51.5,19,19.3,2,1,2.8,Yes,18,No,0,0
C00152,38,Female,Lisafort,42288,Married,2,26,Two-year,Premium,101.41,2655.1,Credit Card,Yes,47.9,21,16.4,0,0,3.5,Yes,19,No,1,0
C00153,19,Male,Wallschester,36510,Single,2,5,Yearly,Standard,68.52,423.9,PayPal,No,84.4,12,51.8,2,0,3.0,No,7,No,0,0
C00154,44,Female,Lake Jasonville,51183,Divorced,2,11,Yearly,Basic,26.34,349.5,Credit Card,Yes,42.3,11,38.1,0,0,3.2,No,9,Yes,0,0
C00155,46,Male,Port Jeffrey,79579,Married,1,14,Monthly,Standard,55.43,762.93,Credit Card,Yes,56.6,11,54.5,2,1,1.3,Yes,27,No,2,0
C00156,32,Male,Port Andrew,32799,Married,2,17,Yearly,Standard,55.75,947.84,Bank Transfer,No,41.1,14,44.8,0,0,2.3,No,1,Yes,1,0
C00157,30,Male,Lake Anthonyburgh,44074,Single,2,33,Monthly,Basic,30.63,988.48,Credit Card,Yes,55.1,14,32.6,0,1,2.9,No,12,Yes,0,0
C00158,46,Male,South Alexanderhaven,58916,Married,0,22,Monthly,Basic,23.14,566.42,Bank Transfer,Yes,46.6,12,65.7,1,1,2.6,No,2,Yes,0,0
C00159,51,Female,New Samantha,45670,Divorced,1,11,Monthly,Premium,93.52,1043.64,Bank Transfer,Yes,38.9,15,64.7,3,0,2.7,No,15,Yes,3,0
C00160,30,Female,Kramerbury,42828,Single,0,10,Yearly,Basic,35.12,338.26,Bank Transfer,No,47.1,15,43.6,1,0,2.5,No,3,No,2,0
C00161,46,Female,Gibsonton,58996,Single,3,12,Yearly,Premium,101.33,1241.28,Credit Card,No,43.5,15,36.8,1,0,4.7,No,1,Yes,1,0
C00162,43,Male,Jesseview,30164,Single,0,66,Monthly,Premium,89.46,5861.34,PayPal,No,31.7,11,92.8,1,0,3.8,No,19,No,0,0
C00163,32,Male,Lake Sarahbury,75767,Married,0,2,Monthly,Basic,21.4,0.0,Credit Card,Yes,31.0,14,66.0,2,0,3.7,Yes,22,No,0,0
C00164,26,Female,Allenfort,48751,Single,3,1,Two-year,Basic,24.19,13.86,Credit Card,No,52.2,17,58.1,1,0,3.8,No,28,No,0,0
C00165,36,Male,Berryton,39324,Married,1,25,Two-year,Standard,58.17,1420.28,Bank Transfer,Yes,32.5,19,48.0,1,1,3.5,Yes,39,No,1,0
