Age,Income,Dependents,Tenure,MonthlyCharges,TotalCharges,AutoPay,MonthlyUsageHours,LoginFrequency,FeatureUsageScore,CustomerSupportCalls,ServiceComplaints,AppRating,DiscountReceived,LastInteractionDays,ContractRenewalReminder,UpgradeAttempts,AverageMonthlySpend,UsagePerDay,SupportCallRate,ComplaintRate,EngagementScore,ContractType_Monthly,ContractType_Two-year,ContractType_Yearly,SubscriptionPlan_Basic,SubscriptionPlan_Premium,SubscriptionPlan_Standard,PaymentMethod_Bank Transfer,PaymentMethod_Credit Card,PaymentMethod_PayPal,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Gender_Female,Gender_Male
36,58030,0,4,24.95,128.97,1,21.9,22,55.5,2,0,2.9,1,3,1,0,32.2425,0.73,0.5,0.0,37.5,True,False,False,True,False,False,True,False,False,True,False,False,False,True
55,68734,4,16,57.15,902.38,1,25.0,21,43.9,1,3,4.1,0,10,0,1,56.39875,0.8333333333333334,0.0625,0.1875,36.16,False,True,False,False,False,True,True,False,False,False,False,True,False,True
48,58962,1,72,101.65,7357.39,1,43.5,19,68.6,0,1,4.0,0,58,1,3,102.18597222222223,1.45,0.0,0.013888888888888888,45.14,False,False,True,False,True,False,True,False,False,False,False,True,False,True
39,25366,0,19,20.0,375.96,0,50.4,16,78.6,0,1,4.4,1,30,1,1,19.78736842105263,1.68,0.0,0.05263157894736842,49.44,False,False,True,True,False,False,False,True,False,False,False,True,True,False
42,57041,1,72,24.53,1778.82,0,64.8,20,36.9,0,0,3.3,1,16,1,1,24.70583333333333,2.1599999999999997,0.0,0.0,30.659999999999997,False,True,False,True,False,False,True,False,False,True,False,False,False,True
24,67018,3,10,24.03,232.0,0,63.3,16,49.3,3,0,3.6,0,36,0,0,23.2,2.11,0.3,0.0,35.32,True,False,False,True,False,False,False,False,True,True,False,False,True,False
49,45396,0,8,107.87,862.7,0,20.7,6,67.9,1,2,3.6,1,52,1,0,107.8375,0.69,0.125,0.25,39.760000000000005,False,True,False,False,True,False,False,True,False,False,False,True,True,False
32,35051,1,29,106.48,3151.84,1,20.0,13,75.7,3,0,3.6,1,58,0,1,108.68413793103448,0.6666666666666666,0.10344827586206896,0.0,44.98,False,False,True,False,True,False,True,False,False,False,False,True,True,False
32,63470,1,4,25.85,146.15,1,45.1,13,19.1,2,1,4.0,0,3,0,0,36.5375,1.5033333333333334,0.5,0.25,23.54,True,False,False,True,False,False,True,False,False,False,True,False,True,False
24,50959,1,1,105.59,39.83,0,51.5,10,65.2,1,0,3.2,0,10,0,1,39.83,1.7166666666666666,1.0,0.0,38.68,False,False,True,False,True,False,False,True,False,False,False,True,False,True
37,80505,0,16,93.3,1503.69,0,49.1,18,40.1,6,0,3.3,1,11,0,1,93.980625,1.6366666666666667,0.375,0.0,31.340000000000003,True,False,False,False,True,False,False,False,True,False,False,True,True,False
46,73025,0,9,26.94,215.07,0,26.0,16,34.4,0,0,3.5,0,9,1,1,23.896666666666665,0.8666666666666667,0.0,0.0,29.06,False,False,True,True,False,False,False,False,True,True,False,False,False,True
58,50038,1,24,94.78,2259.82,0,60.5,19,51.3,2,1,2.3,1,43,0,1,94.15916666666668,2.0166666666666666,0.08333333333333333,0.041666666666666664,33.12,True,False,False,False,True,False,False,True,False,False,True,False,False,True
41,34681,0,5,69.55,406.68,1,41.5,9,32.2,3,0,4.1,0,52,1,2,81.336,1.3833333333333333,0.6,0.0,27.880000000000003,True,False,False,False,False,True,False,True,False,False,True,False,True,False
25,74315,1,33,56.54,1899.93,0,38.2,23,70.2,2,0,3.9,1,10,1,2,57.57363636363637,1.2733333333333334,0.06060606060606061,0.0,46.68000000000001,True,False,False,False,False,True,False,True,False,True,False,False,True,False
41,65015,2,1,34.69,43.05,1,57.5,13,49.8,1,0,2.0,0,14,1,1,43.05,1.9166666666666667,1.0,0.0,29.82,True,False,False,True,False,False,False,True,False,False,False,True,True,False
27,57419,3,64,66.36,4315.33,0,35.2,11,69.5,1,1,4.2,0,17,0,0,67.42703125,1.1733333333333333,0.015625,0.015625,43.7,False,False,True,False,False,True,False,False,True,False,False,True,False,True
23,69462,2,28,60.99,1686.2,1,13.9,15,49.7,0,0,3.9,0,4,1,1,60.221428571428575,0.4633333333333333,0.0,0.0,36.08,True,False,False,False,False,True,False,True,False,False,True,False,False,True
36,73395,3,41,55.96,2195.36,1,64.4,18,69.7,1,1,4.0,0,49,0,3,53.54536585365854,2.146666666666667,0.024390243902439025,0.024390243902439025,45.28,True,False,False,False,False,True,True,False,False,True,False,False,False,True
38,65282,2,24,53.6,1206.96,0,41.7,18,30.4,1,0,4.3,0,91,0,1,50.29,1.3900000000000001,0.041666666666666664,0.0,30.46,True,False,False,False,False,True,False,True,False,False,True,False,False,True
43,75813,0,1,93.67,166.09,1,41.4,7,26.3,3,0,2.7,0,13,1,0,166.09,1.38,3.0,0.0,20.72,False,True,False,False,True,False,False,False,True,False,True,False,True,False
43,31258,2,23,26.98,623.1,1,22.9,20,97.9,3,0,4.3,0,9,0,2,27.09130434782609,0.7633333333333333,0.13043478260869565,0.0,58.06,True,False,False,True,False,False,True,False,False,True,False,False,False,True
60,46770,0,40,52.22,2109.53,1,52.8,19,28.7,2,0,2.3,0,29,0,0,52.73825000000001,1.76,0.05,0.0,24.08,False,False,True,False,False,True,False,False,True,False,True,False,True,False
22,15000,0,5,55.48,233.7,1,7.3,16,55.0,3,0,3.6,0,38,1,1,46.739999999999995,0.24333333333333332,0.6,0.0,37.6,True,False,False,False,False,True,False,True,False,False,True,False,True,False
45,57478,1,10,25.04,232.4,0,60.2,8,23.0,1,0,3.3,0,24,0,3,23.240000000000002,2.006666666666667,0.1,0.0,21.5,False,False,True,True,False,False,False,False,True,False,True,False,False,True
43,61860,2,15,57.67,947.63,1,88.6,9,6.4,0,0,3.2,1,9,1,1,63.175333333333334,2.953333333333333,0.0,0.0,14.86,False,False,True,False,False,True,False,False,True,False,True,False,False,True
53,50782,0,1,105.07,138.01,1,46.6,17,50.8,2,0,3.6,0,14,0,2,138.01,1.5533333333333335,2.0,0.0,36.22,False,False,True,False,True,False,False,False,True,False,True,False,True,False
38,77626,0,30,91.96,2789.03,0,48.7,11,43.1,0,0,2.7,1,22,0,0,92.96766666666667,1.6233333333333335,0.0,0.0,28.64,True,False,False,False,True,False,False,True,False,False,True,False,True,False
68,54823,0,1,56.95,54.04,0,32.1,14,38.6,1,0,3.7,0,223,1,0,54.04,1.07,1.0,0.0,30.740000000000002,False,False,True,False,False,True,True,False,False,False,True,False,False,True
24,75619,1,17,60.98,1072.59,1,26.0,15,83.0,1,0,4.3,0,6,0,1,63.0935294117647,0.8666666666666667,0.058823529411764705,0.0,50.6,True,False,False,False,False,True,False,True,False,False,True,False,False,True
18,43101,0,27,96.45,2550.31,0,8.8,17,95.5,0,0,3.5,0,2,0,1,94.45592592592592,0.29333333333333333,0.0,0.0,53.800000000000004,True,False,False,False,True,False,True,False,False,False,False,True,True,False
18,56999,1,11,34.18,331.76,1,49.8,14,39.5,2,1,3.3,1,17,0,0,30.16,1.66,0.18181818181818182,0.09090909090909091,29.9,True,False,False,True,False,False,True,False,False,False,False,True,True,False
51,66401,2,36,103.35,3754.52,1,22.7,21,45.1,0,0,2.5,0,3,0,0,104.29222222222222,0.7566666666666666,0.0,0.0,31.840000000000003,False,False,True,False,True,False,False,True,False,False,False,True,True,False
34,108215,0,7,54.0,339.54,0,11.6,21,59.5,0,0,3.0,0,1,0,1,48.50571428571429,0.38666666666666666,0.0,0.0,39.1,True,False,False,False,False,True,True,False,False,False,False,True,False,True
18,42277,1,38,26.9,1055.06,1,28.5,16,92.9,0,2,3.8,0,5,1,0,27.76473684210526,0.95,0.0,0.05263157894736842,53.36,False,False,True,True,False,False,False,False,True,False,True,False,True,False
28,59570,0,35,32.26,1152.96,1,38.0,19,52.4,4,0,2.4,1,44,0,0,32.94171428571428,1.2666666666666666,0.11428571428571428,0.0,33.86,False,False,True,True,False,False,False,False,True,False,False,True,False,True
40,49529,3,18,28.6,356.28,1,44.2,15,45.2,1,1,3.7,0,5,1,2,19.793333333333333,1.4733333333333334,0.05555555555555555,0.05555555555555555,33.68,True,False,False,True,False,False,False,True,False,False,True,False,False,True
46,47774,1,16,58.67,936.49,1,48.5,15,83.6,1,0,3.7,0,15,1,0,58.530625,1.6166666666666667,0.0625,0.0,49.04,False,True,False,False,False,True,False,True,False,False,False,True,True,False
49,28425,3,19,20.0,350.31,0,41.2,8,59.8,5,3,3.0,0,24,1,1,18.437368421052632,1.3733333333333335,0.2631578947368421,0.15789473684210525,35.32,True,False,False,True,False,False,False,True,False,False,False,True,False,True
34,37302,3,12,24.54,373.4,1,51.5,17,61.0,0,2,1.9,0,1,1,1,31.116666666666664,1.7166666666666666,0.0,0.16666666666666666,35.2,False,False,True,True,False,False,False,True,False,False,True,False,False,True
43,86254,0,2,99.87,188.32,1,1.7,18,43.4,1,0,2.6,1,20,1,0,94.16,0.056666666666666664,0.5,0.0,30.56,True,False,False,False,True,False,True,False,False,False,False,True,True,False
35,79267,2,22,95.48,2030.13,1,52.1,14,51.2,1,1,3.6,0,34,0,0,92.27863636363637,1.7366666666666668,0.045454545454545456,0.045454545454545456,35.480000000000004,False,False,True,False,True,False,False,True,False,True,False,False,False,True
48,57375,2,12,61.21,719.37,0,33.4,14,38.2,1,0,2.8,0,13,1,0,59.9475,1.1133333333333333,0.08333333333333333,0.0,27.880000000000003,False,False,True,False,False,True,False,True,False,False,True,False,True,False
39,75364,1,16,29.36,546.77,1,61.1,14,43.5,2,1,3.0,1,13,1,1,34.173125,2.0366666666666666,0.125,0.0625,30.6,True,False,False,True,False,False,True,False,False,False,True,False,True,False
36,18331,0,23,95.84,2202.92,1,80.8,12,53.9,1,1,3.1,0,13,1,0,95.77913043478262,2.6933333333333334,0.043478260869565216,0.043478260869565216,34.46,True,False,False,False,True,False,False,False,True,False,True,False,False,True
45,44250,2,72,94.76,6827.15,0,54.8,10,71.8,4,0,3.3,0,27,1,0,94.82152777777777,1.8266666666666667,0.05555555555555555,0.0,41.62,True,False,False,False,True,False,True,False,False,False,True,False,True,False
18,71479,1,28,65.03,1852.03,1,0.0,12,92.7,3,2,4.2,0,53,0,3,66.14392857142857,0.0,0.10714285714285714,0.07142857142857142,53.28000000000001,False,False,True,False,False,True,False,True,False,False,True,False,False,True
50,54330,1,1,31.17,23.64,0,48.8,15,59.2,2,0,3.1,0,14,1,0,23.64,1.6266666666666665,2.0,0.0,37.480000000000004,True,False,False,True,False,False,False,False,True,False,False,True,False,True
38,71069,1,24,99.3,2374.48,1,59.1,9,20.0,1,0,4.3,0,29,0,1,98.93666666666667,1.97,0.041666666666666664,0.0,23.6,False,True,False,False,True,False,False,True,False,False,False,True,False,True
26,37875,2,4,34.94,185.73,1,40.8,14,43.7,0,0,2.5,0,68,0,3,46.4325,1.3599999999999999,0.0,0.0,29.18,False,False,True,True,False,False,False,False,True,False,False,True,False,True
29,82944,1,21,28.32,663.28,0,39.0,18,39.4,2,1,3.1,1,4,0,1,31.584761904761905,1.3,0.09523809523809523,0.047619047619047616,30.46,True,False,False,True,False,False,False,True,False,True,False,False,True,False
31,55282,4,8,29.02,248.79,1,24.0,23,27.7,0,0,3.6,0,119,0,2,31.09875,0.8,0.0,0.0,28.78,True,False,False,True,False,False,False,True,False,True,False,False,True,False
35,61331,2,25,21.06,541.06,0,36.1,11,55.5,2,0,3.8,0,41,0,1,21.6424,1.2033333333333334,0.08,0.0,36.900000000000006,False,True,False,True,False,False,False,False,True,False,True,False,False,True
46,54358,2,12,61.09,718.83,1,52.3,18,57.2,2,0,3.0,0,68,1,0,59.9025,1.7433333333333332,0.16666666666666666,0.0,37.28,False,False,True,False,False,True,True,False,False,False,True,False,True,False
68,38618,0,24,55.77,1425.54,0,26.1,21,57.9,3,1,5.0,0,67,1,1,59.3975,0.87,0.125,0.041666666666666664,44.46,False,False,True,False,False,True,False,True,False,False,True,False,False,True
51,53932,4,21,60.24,1282.55,1,50.7,12,47.8,0,1,2.9,1,20,0,0,61.07380952380952,1.6900000000000002,0.0,0.047619047619047616,31.419999999999998,False,False,True,False,False,True,False,False,True,False,True,False,True,False
32,86313,1,8,24.51,156.68,1,48.1,20,23.2,1,1,4.0,0,21,1,1,19.585,1.6033333333333333,0.125,0.125,27.28,True,False,False,True,False,False,False,True,False,False,True,False,False,True
43,49433,0,4,104.73,389.7,1,47.7,17,36.5,1,0,4.2,0,54,1,0,97.425,1.59,0.25,0.0,32.300000000000004,True,False,False,False,True,False,False,True,False,False,False,True,True,False
31,44754,2,9,55.43,506.54,1,51.8,18,69.6,2,0,4.5,0,20,1,0,56.282222222222224,1.7266666666666666,0.2222222222222222,0.0,46.74,True,False,False,False,False,True,False,False,True,False,True,False,True,False
30,15000,1,19,26.96,552.38,0,13.4,12,66.8,3,1,3.5,1,5,0,0,29.07263157894737,0.44666666666666666,0.15789473684210525,0.05263157894736842,40.82,False,False,True,True,False,False,True,False,False,False,False,True,False,True
33,42527,0,12,32.52,472.51,1,35.3,13,87.3,2,0,3.3,0,15,0,1,39.37583333333333,1.1766666666666665,0.16666666666666666,0.0,48.72,True,False,False,True,False,False,True,False,False,False,False,True,False,True
38,53534,1,39,25.39,987.64,0,35.8,17,68.8,0,0,3.2,0,28,0,1,25.324102564102564,1.1933333333333331,0.0,0.0,42.22,True,False,False,True,False,False,False,True,False,False,True,False,True,False
18,15000,1,22,38.02,831.46,1,50.0,14,48.9,1,0,3.7,0,73,1,1,37.79363636363637,1.6666666666666667,0.045454545454545456,0.0,34.86,True,False,False,True,False,False,True,False,False,True,False,False,True,False
40,68129,0,26,26.43,755.2,1,34.1,20,53.3,3,0,2.7,0,33,0,3,29.04615384615385,1.1366666666666667,0.11538461538461539,0.0,35.42,True,False,False,True,False,False,True,False,False,False,True,False,True,False
18,38938,1,33,98.92,3303.77,1,50.5,13,70.0,1,0,2.5,1,7,1,0,100.11424242424242,1.6833333333333333,0.030303030303030304,0.0,39.4,True,False,False,False,True,False,False,True,False,False,True,False,True,False
41,85478,0,39,63.22,2400.76,0,49.2,17,88.0,3,1,2.6,0,29,1,3,61.557948717948726,1.6400000000000001,0.07692307692307693,0.02564102564102564,48.1,True,False,False,False,False,True,True,False,False,False,False,True,True,False
28,56413,2,56,55.31,3085.4,1,51.8,15,55.9,0,1,3.0,0,20,0,0,55.096428571428575,1.7266666666666666,0.0,0.017857142857142856,35.86,False,False,True,False,False,True,False,False,True,False,True,False,False,True
18,56005,0,2,96.18,82.02,0,77.9,15,59.8,2,1,3.8,1,21,0,0,41.01,2.5966666666666667,1.0,0.5,39.82,True,False,False,False,True,False,True,False,False,False,True,False,False,True
38,54082,2,23,21.48,612.14,1,66.1,24,85.3,2,0,4.2,0,41,1,2,26.614782608695652,2.203333333333333,0.08695652173913043,0.0,53.919999999999995,True,False,False,True,False,False,False,False,True,False,False,True,True,False
26,38996,1,5,65.3,278.73,0,47.9,18,63.1,1,0,4.2,0,50,0,3,55.746,1.5966666666666667,0.2,0.0,43.24,False,False,True,False,False,True,False,True,False,False,False,True,False,True
40,53571,0,8,28.83,221.64,1,2.2,18,43.9,1,0,4.6,0,6,0,0,27.705,0.07333333333333333,0.125,0.0,36.76,False,False,True,True,False,False,False,False,True,False,False,True,True,False
34,73286,2,5,30.26,119.97,0,50.9,21,43.6,1,1,4.3,0,3,0,0,23.994,1.6966666666666665,0.2,0.2,36.64,True,False,False,True,False,False,False,True,False,False,False,True,True,False
52,56231,0,1,24.76,0.0,0,47.5,10,72.5,1,1,3.5,0,20,1,1,0.0,1.5833333333333333,1.0,1.0,42.5,False,True,False,True,False,False,False,True,False,False,True,False,True,False
55,63627,0,2,33.71,0.0,1,34.1,14,63.4,1,1,3.9,0,1,0,0,0.0,1.1366666666666667,0.5,0.5,41.26,False,True,False,True,False,False,False,False,True,True,False,False,False,True
58,32368,0,3,28.24,67.42,0,33.5,18,48.1,1,0,2.0,1,10,0,2,22.473333333333333,1.1166666666666667,0.3333333333333333,0.0,30.64,True,False,False,True,False,False,False,False,True,False,True,False,False,True
43,33473,0,29,27.37,754.53,0,52.1,13,65.0,3,0,2.9,0,176,0,0,26.018275862068965,1.7366666666666668,0.10344827586206896,0.0,38.599999999999994,False,False,True,True,False,False,False,False,True,False,False,True,True,False
22,51258,4,21,108.48,2269.25,0,55.1,14,62.3,1,0,4.7,0,1,0,1,108.05952380952381,1.8366666666666667,0.047619047619047616,0.0,43.22,False,False,True,False,True,False,False,False,True,False,True,False,False,True
31,49228,1,11,61.1,674.55,1,48.9,12,63.8,2,0,2.5,0,16,0,0,61.32272727272727,1.63,0.18181818181818182,0.0,36.62,True,False,False,False,False,True,True,False,False,True,False,False,False,True
55,27803,0,72,29.05,2050.96,0,54.8,14,23.7,1,1,3.4,0,2,1,0,28.485555555555557,1.8266666666666667,0.013888888888888888,0.013888888888888888,23.88,False,False,True,True,False,False,False,True,False,False,False,True,True,False
31,48416,0,14,30.44,482.5,1,64.9,19,44.9,2,0,2.3,1,38,0,0,34.464285714285715,2.1633333333333336,0.14285714285714285,0.0,30.56,False,True,False,True,False,False,False,True,False,False,True,False,False,True
27,47746,3,18,31.32,621.27,0,41.3,15,88.6,2,0,3.7,0,3,1,3,34.515,1.3766666666666665,0.1111111111111111,0.0,51.04,False,False,True,True,False,False,False,True,False,False,False,True,False,True
43,49507,1,8,93.53,736.75,1,76.9,16,60.8,1,0,2.7,0,14,0,0,92.09375,2.5633333333333335,0.125,0.0,37.22,True,False,False,False,True,False,True,False,False,True,False,False,False,True
25,26689,2,2,93.58,267.79,1,18.5,16,41.8,2,0,4.1,0,1,0,1,133.895,0.6166666666666667,1.0,0.0,33.82,False,False,True,False,True,False,True,False,False,False,True,False,False,True
28,23291,1,15,25.07,414.86,1,59.2,20,70.9,0,1,2.5,0,50,0,0,27.657333333333334,1.9733333333333334,0.0,0.06666666666666667,41.86,False,False,True,True,False,False,False,True,False,False,True,False,False,True
55,86663,1,6,52.05,372.48,1,25.7,20,27.1,2,0,3.4,0,55,0,2,62.080000000000005,0.8566666666666667,0.3333333333333333,0.0,27.040000000000003,False,False,True,False,False,True,True,False,False,True,False,False,True,False
60,15825,1,34,21.63,727.84,1,48.8,9,72.2,1,0,3.8,0,44,1,0,21.40705882352941,1.6266666666666665,0.029411764705882353,0.0,42.980000000000004,True,False,False,True,False,False,False,True,False,True,False,False,True,False
50,42651,0,12,98.58,1258.76,0,70.5,16,87.6,0,0,4.4,0,44,0,1,104.89666666666666,2.35,0.0,0.0,53.03999999999999,True,False,False,False,True,False,False,False,True,False,True,False,True,False
25,102699,2,30,22.59,684.08,0,22.8,15,84.6,3,0,3.1,0,27,0,0,22.802666666666667,0.76,0.1,0.0,47.63999999999999,False,True,False,True,False,False,True,False,False,False,True,False,False,True
30,39805,0,4,20.14,104.14,1,3.4,15,30.4,0,1,2.7,1,11,1,0,26.035,0.11333333333333333,0.0,0.25,24.759999999999998,True,False,False,True,False,False,False,True,False,False,False,True,False,True
37,68960,1,57,32.85,1936.35,1,57.2,16,71.0,0,0,4.2,0,11,1,1,33.97105263157894,1.9066666666666667,0.0,0.0,45.800000000000004,True,False,False,True,False,False,True,False,False,False,True,False,False,True
46,86447,0,10,28.82,361.09,0,60.1,13,82.8,1,1,3.3,0,3,0,2,36.108999999999995,2.0033333333333334,0.1,0.1,46.919999999999995,False,False,True,True,False,False,False,False,True,True,False,False,True,False
32,41329,1,1,28.77,0.0,0,52.7,11,93.7,2,0,4.5,1,18,1,1,0.0,1.7566666666666668,2.0,0.0,54.28,True,False,False,True,False,False,False,True,False,False,False,True,False,True
50,44818,0,54,93.31,5061.67,0,32.7,16,42.1,2,1,4.5,1,1,1,0,93.73462962962964,1.09,0.037037037037037035,0.018518518518518517,35.14,False,True,False,False,True,False,False,True,False,False,False,True,True,False
50,65520,2,30,88.74,2673.39,0,29.9,13,55.4,0,0,3.1,1,114,1,1,89.113,0.9966666666666666,0.0,0.0,35.36,True,False,False,False,True,False,True,False,False,True,False,False,True,False
43,55496,1,16,55.82,884.59,0,45.9,16,73.7,3,0,1.9,1,23,0,0,55.286875,1.53,0.1875,0.0,39.980000000000004,False,False,True,False,False,True,False,False,True,False,True,False,False,True
25,44066,0,1,54.79,94.81,0,40.6,15,80.3,1,1,4.4,0,1,1,0,94.81,1.3533333333333333,1.0,1.0,49.81999999999999,True,False,False,False,False,True,False,False,True,False,True,False,True,False
27,65959,2,8,59.06,505.73,1,52.4,13,56.7,2,1,3.1,1,73,1,0,63.21625,1.7466666666666666,0.25,0.125,35.88,True,False,False,False,False,True,True,False,False,False,True,False,True,False
34,61685,2,56,101.0,5657.72,0,31.5,16,30.6,3,0,2.8,0,35,1,1,101.0307142857143,1.05,0.05357142857142857,0.0,25.440000000000005,False,False,True,False,True,False,False,False,True,True,False,False,False,True
58,15000,0,1,62.95,70.76,0,45.0,15,80.4,0,0,3.5,0,44,1,1,70.76,1.5,0.0,0.0,47.160000000000004,True,False,False,False,False,True,False,False,True,False,False,True,True,False
42,90036,0,27,100.81,2828.55,1,11.1,20,42.5,4,0,4.0,0,46,0,1,104.76111111111112,0.37,0.14814814814814814,0.0,35.0,False,True,False,False,True,False,False,False,True,False,False,True,False,True
59,42470,2,24,66.04,1682.72,0,51.8,10,53.3,0,0,2.5,0,16,0,0,70.11333333333333,1.7266666666666666,0.0,0.0,31.82,False,True,False,False,False,True,False,True,False,False,False,True,True,False
36,46417,2,12,59.93,758.75,0,19.2,7,54.3,1,1,4.2,1,35,0,3,63.229166666666664,0.64,0.08333333333333333,0.08333333333333333,36.42,False,False,True,False,False,True,True,False,False,False,True,False,True,False
